[Normal]Item: ?ä¼?(0,0,1,2,0,1), unbind = 0, bind = 0
[Normal]Item: ÁèÔÆÖ®×³Ö¾¿ø(0,1,5202,0,2,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾¼×(0,1,5203,0,0,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾ÂÄ(0,1,5204,0,1,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾?ä(0,1,5205,0,3,10), unbind = 0, bind = 30000
[Normal]Item: ÁèÔÆÖ®×³Ö¾´ø(0,1,5206,0,4,10), unbind = 0, bind = 30000
[Normal]Item: ±¼Ïü(0,0,10,6,0,10), unbind = 0, bind = 100
[Normal]Item: ·­Ó?(0,0,10,7,0,10), unbind = 0, bind = 100
[Normal]Item: ·ÉÔÆ(0,0,10,8,0,10), unbind = 0, bind = 100
[Normal]Item: ³àÁú¾Ô(0,0,10,9,0,10), unbind = 0, bind = 100
[Normal]Item: ¾øµØ(0,0,10,10,0,10), unbind = 0, bind = 100
[Normal]Item: Óâ»Ô(0,0,10,11,0,10), unbind = 0, bind = 100
[Normal]Item: ?ÚÎí(0,0,10,12,0,10), unbind = 0, bind = 100
[Normal]Item: ³¬¹â(0,0,10,13,0,10), unbind = 0, bind = 20000
[Normal]Item: »?¾¦½?»¢Í?(0,0,10,15,0,10), unbind = 0, bind = 1000
[Normal]Item: ½?¾¦°×»¢Í?(0,0,10,16,0,10), unbind = 0, bind = 2000
[Normal]Item: Áú¾¦ºÚ»¢Í?(0,0,10,17,0,10), unbind = 0, bind = 3000
[Normal]Item: H·n Huy?t Long C©u(0,0,10,18,0,10), unbind = 0, bind = 10000
[Normal]Item: Phong V©n B¹ch M·(0,0,10,19,0,10), unbind = 0, bind = 5000
[Normal]Item: Phong V©n Chi?n M·(0,0,10,20,0,10), unbind = 0, bind = 15000
[Normal]Item: D­¬ng Sa(0,1,5092,26,5,10), unbind = 0, bind = 30000
[Normal]Item: Ngù Phong(0,1,5093,27,5,10), unbind = 0, bind = 30000
[Normal]Item: Truy ®iÖn(0,1,5094,28,5,10), unbind = 0, bind = 30000
[Normal]Item: L­u Tinh (0,1,5095,29,5,10), unbind = 0, bind = 30000
[Normal]Item: Lam L©n ThÇn Léc(0,1,5096,18,5,10), unbind = 0, bind = 30000
[Normal]Item: Â¥À¼°×Ê¨(0,1,4479,22,5,10), unbind = 0, bind = 30000
[Normal]Item: Siªu Quang(0,1,4365,13,5,10), unbind = 0, bind = 30000
[Normal]Item: º¹ÑªÁú¾Ô(0,1,3878,18,5,10), unbind = 0, bind = 10000
[Normal]Item: Kinh L?i(0,1,5932,34,5,10), unbind = 0, bind = 50000
[Normal]Item: MÆc Vò Tiªn L­(0,1,6262,34,5,10), unbind = 0, bind = 50000
[Normal]Item: TuyÕt Vùc ChiÕn Lang(0,1,6261,36,5,10), unbind = 0, bind = 50000
[Normal]Item: NguyÖt Khuy?t B? §éc H¹ng Liªn(0,1,5799,1,4,10), unbind = 0, bind = 40000
[Normal]Item: NguyÖt Khuy?t B? §éc Qu¸n(0,1,5800,2,0,10), unbind = 0, bind = 40000
[Normal]Item: NguyÖt Khuy?t B? §éc Linh Xµ ChØ Hoµn(0,1,5801,0,2,10), unbind = 0, bind = 40000
[Normal]Item: NguyÖt Khuy?t B? §éc Hé UyÓn(0,1,5802,1,1,10), unbind = 0, bind = 40000
[Normal]Item: NguyÖt Khuy?t B? §éc Thóc Yªu(0,1,5803,0,3,10), unbind = 0, bind = 40000
[Normal]Item: NguyÖt Khuy?t B? §éc Gi¸p Y(0,1,5804,3,4,10), unbind = 0, bind = 40000
[Normal]Item: NguyÖt Khuy?t B? §éc Tô TiÔn(0,1,5805,2,0,10), unbind = 0, bind = 40000
[Normal]Item: NguyÖt Khuy?t B? §éc L?(0,1,5806,1,2,10), unbind = 0, bind = 40000
[Normal]Item: NguyÖt Khuy?t B? §éc Yªu Trôy(0,1,5807,1,1,10), unbind = 0, bind = 40000
[Normal]Item: NguyÖt Khuy?t B? §éc Kim Thi?m ChØ Hoµn(0,1,5808,0,3,10), unbind = 0, bind = 40000
[Normal]Item: DiÖu D­¬ng Thiªn Quang H¹ng Liªn(0,1,6091,1,4,10), unbind = 0, bind = 50000
[Normal]Item: DiÖu D­¬ng Thiªn Quang Qu¸n(0,1,6092,2,0,10), unbind = 0, bind = 50000
[Normal]Item: DiÖu D­¬ng Thiªn Quang Linh Xµ ChØ Hoµn(0,1,6093,0,2,10), unbind = 0, bind = 50000
[Normal]Item: DiÖu D­¬ng Thiªn Quang Hé UyÓn(0,1,6094,1,1,10), unbind = 0, bind = 50000
[Normal]Item: DiÖu D­¬ng Thiªn Quang Thóc Yªu(0,1,6095,0,3,10), unbind = 0, bind = 50000
[Normal]Item: DiÖu D­¬ng Thiªn Quang Gi¸p Y(0,1,6096,3,4,10), unbind = 0, bind = 50000
[Normal]Item: DiÖu D­¬ng Thiªn Quang Tô TiÔn(0,1,6097,2,0,10), unbind = 0, bind = 50000
[Normal]Item: DiÖu D­¬ng Thiªn Quang L÷(0,1,6098,1,2,10), unbind = 0, bind = 50000
[Normal]Item: DiÖu D­¬ng Thiªn Quang Yªu Trôy(0,1,6099,1,1,10), unbind = 0, bind = 50000
[Normal]Item: DiÖu D­¬ng Thiªn Quang Kim ThiÒm ChØ Hoµn(0,1,6100,0,3,10), unbind = 0, bind = 50000
[Normal]Item: ?ÚÁúÖ®ß±ÉñÏîÁ´(0,1,3104,1,4,10), unbind = 0, bind = 30000
[Normal]Item: ?ÚÁúÖ®ß±Éñ¹Ú(0,1,3105,2,0,10), unbind = 0, bind = 30000
[Normal]Item: ?ÚÁúÖ®ß±ÉñÁéÉßÖ¸»·(0,1,3106,0,2,10), unbind = 0, bind = 30000
[Normal]Item: ?ÚÁúÖ®ß±Éñ»¤Íó(0,1,3107,1,1,10), unbind = 0, bind = 30000
[Normal]Item: ?ÚÁúÖ®ß±ÉñÊøÑü(0,1,3108,0,3,10), unbind = 0, bind = 30000
[Normal]Item: ?ÚÁúÖ®ß±Éñ¼×?Â(0,1,3109,3,4,10), unbind = 0, bind = 30000
[Normal]Item: ?ÚÁúÖ®ß±Éñ?ä¼?(0,1,3110,2,0,10), unbind = 0, bind = 30000
[Normal]Item: ?ÚÁúÖ®ß±ÉñÂÄ(0,1,3111,1,2,10), unbind = 0, bind = 30000
[Normal]Item: ?ÚÁúÖ®ß±ÉñÑü×¹(0,1,3112,1,1,10), unbind = 0, bind = 30000
[Normal]Item: ?ÚÁúÖ®ß±Éñ½?ó¸Ö¸»·(0,1,3113,0,3,10), unbind = 0, bind = 30000
[Normal]Item: ´ó·çµ¶(0,0,0,1,3,10), unbind = 0, bind = 0
[Normal]Item: ×êÊ¯½äÖ¸(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: ´ó·çµ¶(0,0,0,1,3,10), unbind = 0, bind = 0
[Normal]Item: ´ó·çµ¶(0,0,0,1,3,10), unbind = 0, bind = 0
[Normal]Item: ´ó·çµ¶(0,0,0,1,3,10), unbind = 0, bind = 0
[Normal]Item: ¹â¸Ëµ¶(0,0,1,1,4,7), unbind = 0, bind = 0
[Normal]Item: ÆÆ¼×åó(0,0,1,2,4,7), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,4,7), unbind = 0, bind = 0
[Normal]Item: ¹â¸Ëµ¶(0,0,1,1,4,7), unbind = 0, bind = 0
[Normal]Item: ÆÆ¼×åó(0,0,1,2,4,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,2,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,2,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,2,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,2,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,3,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,1,7), unbind = 0, bind = 0
[Normal]Item: ¹â¸Ëµ¶(0,0,1,1,4,7), unbind = 0, bind = 0
[Normal]Item: ÆÆ¼×åó(0,0,1,2,4,7), unbind = 0, bind = 0
[Normal]Item: ÆÆ¼×åó(0,0,1,2,2,7), unbind = 0, bind = 0
[Normal]Item: ÆÆ¼×åó(0,0,1,2,2,7), unbind = 0, bind = 0
[Normal]Item: ÆÆ¼×åó(0,0,1,2,2,7), unbind = 0, bind = 0
[Normal]Item: ÆÆ¼×åó(0,0,1,2,2,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,0,7), unbind = 0, bind = 0
[Normal]Item: ³?î?(0,0,0,0,0,7), unbind = 0, bind = 0
[Normal]Item: ÆÆ¼×åó(0,0,1,2,0,7), unbind = 0, bind = 0
[Normal]Item: ¹â¸Ëµ¶(0,0,1,1,0,7), unbind = 0, bind = 0
[Normal]Item: ÆÆ??êª(0,0,0,3,3,10), unbind = 0, bind = 0
[Normal]Item: ÆÆ¼×åó(0,0,1,2,2,7), unbind = 0, bind = 0
[Normal]Item: ÆÆ¼×åó(0,0,1,2,2,7), unbind = 0, bind = 0
[Normal]Item: º£À¶±¦Ê¯½äÖ¸(0,0,3,0,2,7), unbind = 0, bind = 0
